
161, 250, 495

495, 250, 59

495, 195, 161

250, 156, 59

235, 156, 250

156, 52, 59

525, 59, 52

59, 184, 495

525, 56, 59

59, 56, 184

495, 184, 137

195, 495, 321

321, 495, 137

331, 184, 56

331, 137, 184

56, 525, 240

169, 195, 321

161, 515, 250

515, 161, 330

56, 240, 69

56, 69, 331

321, 137, 424

424, 331, 69

321, 424, 288

137, 331, 424

288, 424, 20

523, 69, 240

370, 69, 523

76, 424, 69

424, 15, 20

509, 69, 370

69, 509, 76

76, 75, 424

75, 15, 424

75, 76, 283

75, 385, 15

127, 76, 509

76, 127, 283

433, 385, 75

75, 283, 433

135, 127, 509

283, 127, 332

283, 332, 433

332, 127, 511

127, 135, 511

459, 385, 433

459, 433, 332

37, 385, 459

459, 284, 37

459, 332, 284

284, 332, 70

511, 70, 332

135, 70, 511

296, 43, 432

43, 365, 432

43, 364, 365

18, 365, 364

365, 18, 225

17, 18, 364

17, 225, 18

365, 473, 432

364, 458, 17

423, 17, 458

423, 7, 17

369, 473, 365

225, 369, 365

423, 228, 7

296, 432, 320

237, 296, 320

432, 341, 320

523, 237, 320

370, 320, 341

523, 320, 370

423, 542, 228

25, 228, 542

7, 228, 377

7, 377, 369

25, 377, 228

237, 236, 296

473, 267, 432

369, 267, 473

267, 369, 377

267, 377, 553

25, 553, 377

551, 432, 267

267, 553, 117

117, 392, 267

432, 292, 341

551, 292, 432

442, 292, 551

104, 267, 392

442, 267, 104

442, 551, 267

308, 442, 104

557, 341, 292

557, 370, 341

442, 337, 292

417, 370, 557

444, 324, 233

324, 444, 494

233, 163, 444

494, 440, 324

163, 233, 191

233, 193, 191

234, 193, 233

193, 234, 84

191, 338, 163

278, 233, 324

444, 163, 436

163, 338, 436

324, 269, 278

269, 324, 440

338, 500, 436

343, 233, 278

398, 233, 343

233, 398, 234

343, 346, 398

403, 494, 444

403, 444, 340

444, 436, 340

340, 436, 480

269, 30, 278

30, 343, 278

299, 343, 30

494, 403, 215

269, 334, 30

535, 299, 30

234, 398, 12

479, 398, 346

12, 398, 266

479, 266, 398

535, 30, 31

30, 334, 31

535, 31, 547

535, 547, 197

197, 455, 535

197, 24, 455

197, 456, 24

456, 197, 357

455, 293, 535

293, 132, 535

455, 24, 293

293, 140, 132

132, 140, 27

140, 548, 27

197, 389, 357

197, 114, 389

114, 197, 395

389, 114, 478

395, 478, 114

389, 478, 396

478, 395, 169

493, 468, 469

51, 493, 469

468, 210, 469

468, 448, 210

469, 210, 512

468, 493, 53

111, 210, 448

512, 210, 6

64, 51, 469

469, 376, 64

512, 376, 469

153, 51, 64

6, 210, 560

560, 210, 545

492, 210, 111

51, 153, 35

448, 112, 111

493, 65, 53

467, 448, 468

510, 448, 467

448, 510, 112

213, 467, 468

53, 213, 468

213, 53, 65

43, 296, 534

534, 201, 43

534, 296, 221

221, 296, 236

221, 236, 52

364, 43, 201

221, 52, 204

458, 364, 201

434, 458, 201

270, 434, 201

434, 270, 173

287, 173, 270

445, 173, 287

201, 534, 536

201, 536, 270

534, 42, 536

534, 530, 42

530, 534, 221

235, 530, 221

204, 235, 221

54, 530, 235

406, 434, 173

447, 406, 173

173, 445, 447

447, 445, 300

445, 407, 300

406, 447, 80

80, 375, 406

447, 352, 80

375, 80, 81

489, 80, 352

80, 489, 100

316, 352, 447

316, 489, 352

100, 81, 80

146, 390, 389

390, 146, 428

146, 389, 457

457, 20, 146

427, 390, 428

4, 390, 427

357, 389, 390

4, 357, 390

396, 457, 389

288, 457, 396

20, 231, 146

146, 533, 428

386, 428, 533

533, 429, 386

386, 368, 428

478, 288, 396

533, 146, 88

146, 46, 88

46, 146, 231

533, 88, 50

437, 118, 505

491, 118, 437

311, 118, 491

437, 505, 504

504, 505, 254

504, 254, 253

254, 224, 253

224, 488, 253

380, 488, 224

488, 380, 35

35, 153, 488

517, 190, 249

190, 66, 249

410, 249, 66

190, 222, 66

222, 190, 23

482, 517, 249

